"","title","position","date","type","year","episodes"
"1","Black Mirror",1,2025-04-28,"TV Series","2011– ","33"
"2","The Last of Us",2,2025-04-28,"TV Series","2023– ","17"
"3","The White Lotus",3,2025-04-28,"TV Series","2021– ","22"
"4","Daredevil: Born Again",4,2025-04-28,"TV Series","2025– ","17"
"5","The Pitt",5,2025-04-28,"TV Series","2025– ","16"
"6","MobLand",6,2025-04-28,"TV Series","2025– ","10"
"7","Your Friends & Neighbors",7,2025-04-28,"TV Series","2025– ","10"
"8","The Handmaid's Tale",8,2025-04-28,"TV Series","2017–2025","66"
"9","Severance",9,2025-04-28,"TV Series","2022– ","20"
"10","The Wheel of Time",10,2025-04-28,"TV Series","2021– ","24"
"11","1923",11,2025-04-28,"TV Series","2022–2025","15"
"12","Adolescence",12,2025-04-28,"TV Mini Series","2025","4"
"13","Ransom Canyon",13,2025-04-28,"TV Series","2025– ","10"
"14","The Righteous Gemstones",14,2025-04-28,"TV Series","2019–2025","36"
"15","Game of Thrones",15,2025-04-28,"TV Series","2011–2019","74"
"16","The Residence",16,2025-04-28,"TV Mini Series","2025","8"
"17","The Rookie",17,2025-04-28,"TV Series","2018– ","144"
"18","Yellowjackets",18,2025-04-28,"TV Series","2021– ","29"
"19","Good American Family",19,2025-04-28,"TV Mini Series","2025","8"
"20","Bosch: Legacy",20,2025-04-28,"TV Series","2022–2025","30"
"21","The Studio",21,2025-04-28,"TV Series","2025– ","10"
"22","Yellowstone",22,2025-04-28,"TV Series","2018–2024","53"
"23","The Bondsman",23,2025-04-28,"TV Series","2025– ","8"
"24","9-1-1",24,2025-04-28,"TV Series","2018– ","142"
"25","Reacher",25,2025-04-28,"TV Series","2022– ","25"
