"","title","position","date","type","year","episodes"
"1","Severance",1,2025-02-24,"TV Series","2022– ","19"
"2","Paradise",2,2025-02-24,"TV Series","2025– ","9"
"3","Apple Cider Vinegar",3,2025-02-24,"TV Mini Series","2025","6"
"4","Invincible",4,2025-02-24,"TV Series","2021– ","25"
"5","The White Lotus",5,2025-02-24,"TV Series","2021– ","22"
"6","Cobra Kai",6,2025-02-24,"TV Series","2018–2025","65"
"7","The Night Agent",7,2025-02-24,"TV Series","2023– ","21"
"8","Yellowstone",8,2025-02-24,"TV Series","2018–2024","53"
"9","High Potential",9,2025-02-24,"TV Series","2024– ","14"
"10","Dexter: Original Sin",10,2025-02-24,"TV Series","2024– ","10"
"11","The Recruit",11,2025-02-24,"TV Series","2022– ","14"
"12","Game of Thrones",12,2025-02-24,"TV Series","2011–2019","74"
"13","Yellowjackets",13,2025-02-24,"TV Series","2021– ","29"
"14","The Åre Murders",14,2025-02-24,"TV Series","2025– ","5"
"15","Dexter",15,2025-02-24,"TV Series","2006–2013","96"
"16","The Rookie",16,2025-02-24,"TV Series","2018– ","118"
"17","Solo Leveling",17,2025-02-24,"TV Series","2024– ","21"
"18","The Pitt",18,2025-02-24,"TV Series","2025– ","16"
"19","Squid Game",19,2025-02-24,"TV Series","2021–2025","18"
"20","American Primeval",20,2025-02-24,"TV Mini Series","2025","6"
"21","Cassandra",21,2025-02-24,"TV Series","2025","6"
"22","Breaking Bad",22,2025-02-24,"TV Series","2008–2013","62"
"23","Silo",23,2025-02-24,"TV Series","2023– ","22"
"24","Unforgotten",24,2025-02-24,"TV Series","2015– ","36"
"25","Landman",25,2025-02-24,"TV Series","2024– ","10"
