"","title","position","date","type","year","episodes"
"1","Untamed",1,2025-07-28,"TV Mini Series","2025","6"
"2","Dexter: Resurrection",2,2025-07-28,"TV Series","2025– ","10"
"3","Ballard",3,2025-07-28,"TV Series","2025– ","10"
"4","Stranger Things",4,2025-07-28,"TV Series","2016–2025","42"
"5","The Summer I Turned Pretty",5,2025-07-28,"TV Series","2022–2025","26"
"6","The Sandman",6,2025-07-28,"TV Series","2022–2025","23"
"7","The Bear",7,2025-07-28,"TV Series","2022– ","39"
"8","Too Much",8,2025-07-28,"TV Mini Series","2025","10"
"9","Star Trek: Strange New Worlds",9,2025-07-28,"TV Series","2022– ","46"
"10","Squid Game",10,2025-07-28,"TV Series","2021–2025","22"
"11","Game of Thrones",11,2025-07-28,"TV Series","2011–2019","74"
"12","Dept. Q",12,2025-07-28,"TV Series","2025– ","9"
"13","The Last of Us",13,2025-07-28,"TV Series","2023– ","17"
"14","Foundation",14,2025-07-28,"TV Series","2021– ","30"
"15","The Institute",15,2025-07-28,"TV Series","2025– ","8"
"16","The Gilded Age",16,2025-07-28,"TV Series","2022– ","25"
"17","MobLand",17,2025-07-28,"TV Series","2025– ","11"
"18","Dexter",18,2025-07-28,"TV Series","2006–2013","96"
"19","Sullivan's Crossing",19,2025-07-28,"TV Series","2023– ","40"
"20","The Waterfront",20,2025-07-28,"TV Series","2025– ","8"
"21","The Rookie",21,2025-07-28,"TV Series","2018– ","144"
"22","Breaking Bad",22,2025-07-28,"TV Series","2008–2013","62"
"23","We Were Liars",23,2025-07-28,"TV Series","2025– ","8"
"24","Smoke",24,2025-07-28,"TV Series","2025– ","9"
"25","Countdown",25,2025-07-28,"TV Series","2025– ","13"
