"","title","position","date","type","year","episodes"
"1","The White Lotus",1,2025-04-21,"TV Series","2021– ","22"
"2","Black Mirror",2,2025-04-21,"TV Series","2011– ","33"
"3","1923",3,2025-04-21,"TV Series","2022–2025","15"
"4","The Pitt",4,2025-04-21,"TV Series","2025– ","16"
"5","Daredevil: Born Again",5,2025-04-21,"TV Series","2025– ","17"
"6","MobLand",6,2025-04-21,"TV Series","2025– ","10"
"7","Adolescence",7,2025-04-21,"TV Mini Series","2025","4"
"8","The Last of Us",8,2025-04-21,"TV Series","2023– ","17"
"9","Severance",9,2025-04-21,"TV Series","2022– ","20"
"10","The Bondsman",10,2025-04-21,"TV Series","2025– ","8"
"11","The Handmaid's Tale",11,2025-04-21,"TV Series","2017–2025","66"
"12","Pulse",12,2025-04-21,"TV Series","2025– ","10"
"13","The Residence",13,2025-04-21,"TV Mini Series","2025","8"
"14","Devil May Cry",14,2025-04-21,"TV Series","2025– ","9"
"15","The Wheel of Time",15,2025-04-21,"TV Series","2021– ","24"
"16","Yellowjackets",16,2025-04-21,"TV Series","2021– ","29"
"17","Dying for Sex",17,2025-04-21,"TV Mini Series","2025","8"
"18","Game of Thrones",18,2025-04-21,"TV Series","2011–2019","74"
"19","Reacher",19,2025-04-21,"TV Series","2022– ","25"
"20","The Righteous Gemstones",20,2025-04-21,"TV Series","2019–2025","36"
"21","The Rookie",21,2025-04-21,"TV Series","2018– ","144"
"22","The Studio",22,2025-04-21,"TV Series","2025– ","10"
"23","Yellowstone",23,2025-04-21,"TV Series","2018–2024","53"
"24","Invincible",24,2025-04-21,"TV Series","2021– ","25"
"25","Good American Family",25,2025-04-21,"TV Mini Series","2025","8"
