"","title","position","date","type","year","episodes"
"1","The Last of Us",1,2025-05-12,"TV Series","2023– ","17"
"2","You",2,2025-05-12,"TV Series","2018–2025","50"
"3","Andor",3,2025-05-12,"TV Series","2022–2025","24"
"4","Black Mirror",4,2025-05-12,"TV Series","2011– ","33"
"5","The Four Seasons",5,2025-05-12,"TV Mini Series","2025","8"
"6","MobLand",6,2025-05-12,"TV Series","2025– ","10"
"7","The White Lotus",7,2025-05-12,"TV Series","2021– ","22"
"8","The Eternaut",8,2025-05-12,"TV Series","2025– ","7"
"9","Ransom Canyon",9,2025-05-12,"TV Series","2025– ","10"
"10","The Handmaid's Tale",10,2025-05-12,"TV Series","2017–2025","66"
"11","The Righteous Gemstones",11,2025-05-12,"TV Series","2019–2025","36"
"12","Your Friends & Neighbors",12,2025-05-12,"TV Series","2025– ","10"
"13","The Rookie",13,2025-05-12,"TV Series","2018– ","144"
"14","The Pitt",14,2025-05-12,"TV Series","2025– ","16"
"15","Game of Thrones",15,2025-05-12,"TV Series","2011–2019","74"
"16","Severance",16,2025-05-12,"TV Series","2022– ","20"
"17","Étoile",17,2025-05-12,"TV Series","2025– ","16"
"18","The Studio",18,2025-05-12,"TV Series","2025– ","11"
"19","Breaking Bad",19,2025-05-12,"TV Series","2008–2013","62"
"20","Daredevil: Born Again",20,2025-05-12,"TV Series","2025– ","17"
"21","9-1-1",21,2025-05-12,"TV Series","2018– ","142"
"22","Yellowstone",22,2025-05-12,"TV Series","2018–2024","53"
"23","Adolescence",23,2025-05-12,"TV Mini Series","2025","4"
"24","1923",24,2025-05-12,"TV Series","2022–2025","15"
"25","Doctor Who",25,2025-05-12,"TV Series","2023– ","21"
