"","title","position","date","type","year","episodes"
"1","Squid Game",1,2025-07-14,"TV Series","2021–2025","22"
"2","The Bear",2,2025-07-14,"TV Series","2022– ","39"
"3","The Sandman",3,2025-07-14,"TV Series","2022–2025","23"
"4","Ironheart",4,2025-07-14,"TV Mini Series","2025","6"
"5","The Waterfront",5,2025-07-14,"TV Series","2025– ","8"
"6","Dept. Q",6,2025-07-14,"TV Series","2025– ","9"
"7","Countdown",7,2025-07-14,"TV Series","2025– ","13"
"8","We Were Liars",8,2025-07-14,"TV Series","2025– ","8"
"9","Smoke",9,2025-07-14,"TV Series","2025– ","9"
"10","MobLand",10,2025-07-14,"TV Series","2025– ","11"
"11","Game of Thrones",11,2025-07-14,"TV Series","2011–2019","74"
"12","Murderbot",12,2025-07-14,"TV Series","2025– ","11"
"13","The Last of Us",13,2025-07-14,"TV Series","2023– ","17"
"14","Andor",14,2025-07-14,"TV Series","2022–2025","24"
"15","Animal Kingdom",15,2025-07-14,"TV Series","2016–2022","75"
"16","The Rookie",16,2025-07-14,"TV Series","2018– ","144"
"17","Poker Face",17,2025-07-14,"TV Series","2023– ","22"
"18","Breaking Bad",18,2025-07-14,"TV Series","2008–2013","62"
"19","Stick",19,2025-07-14,"TV Series","2025– ","10"
"20","The Gilded Age",20,2025-07-14,"TV Series","2022– ","25"
"21","The White Lotus",21,2025-07-14,"TV Series","2021– ","22"
"22","Stranger Things",22,2025-07-14,"TV Series","2016–2025","42"
"23","Duster",23,2025-07-14,"TV Series","2025","8"
"24","Rick and Morty",24,2025-07-14,"TV Series","2013– ","85"
"25","Ginny & Georgia",25,2025-07-14,"TV Series","2021– ","31"
