"","title","position","date","type","year","episodes"
"1","The Last of Us",1,2025-06-09,"TV Series","2023– ","17"
"2","Dept. Q",2,2025-06-09,"TV Series","2025– ","9"
"3","Sirens",3,2025-06-09,"TV Mini Series","2025","5"
"4","MobLand",4,2025-06-09,"TV Series","2025– ","10"
"5","Andor",5,2025-06-09,"TV Series","2022–2025","24"
"6","The Better Sister",6,2025-06-09,"TV Series","2025","8"
"7","Your Friends & Neighbors",7,2025-06-09,"TV Series","2025– ","10"
"8","The Handmaid's Tale",8,2025-06-09,"TV Series","2017–2025","66"
"9","The White Lotus",9,2025-06-09,"TV Series","2021– ","22"
"10","Stranger Things",10,2025-06-09,"TV Series","2016–2025","42"
"11","Game of Thrones",11,2025-06-09,"TV Series","2011–2019","74"
"12","Doctor Who",12,2025-06-09,"TV Series","2023– ","21"
"13","Black Mirror",13,2025-06-09,"TV Series","2011– ","33"
"14","Poker Face",14,2025-06-09,"TV Series","2023– ","22"
"15","Murderbot",15,2025-06-09,"TV Series","2025– ","10"
"16","The Rookie",16,2025-06-09,"TV Series","2018– ","144"
"17","Nine Perfect Strangers",17,2025-06-09,"TV Series","2021– ","16"
"18","Adults",18,2025-06-09,"TV Series","2025– ","8"
"19","Rick and Morty",19,2025-06-09,"TV Series","2013– ","85"
"20","The Four Seasons",20,2025-06-09,"TV Series","2025–2026","9"
"21","Hacks",21,2025-06-09,"TV Series","2021– ","38"
"22","Overcompensating",22,2025-06-09,"TV Series","2025– ","8"
"23","Breaking Bad",23,2025-06-09,"TV Series","2008–2013","62"
"24","Duster",24,2025-06-09,"TV Series","2025– ","8"
"25","Severance",25,2025-06-09,"TV Series","2022– ","20"
