"","title","position","date","type","year","episodes"
"1","The Last of Us",1,2025-05-19,"TV Series","2023– ","17"
"2","Andor",2,2025-05-19,"TV Series","2022–2025","24"
"3","The Four Seasons",3,2025-05-19,"TV Series","2025","9"
"4","Black Mirror",4,2025-05-19,"TV Series","2011– ","33"
"5","MobLand",5,2025-05-19,"TV Series","2025– ","10"
"6","You",6,2025-05-19,"TV Series","2018–2025","50"
"7","The Eternaut",7,2025-05-19,"TV Series","2025– ","7"
"8","The White Lotus",8,2025-05-19,"TV Series","2021– ","22"
"9","Poker Face",9,2025-05-19,"TV Series","2023– ","22"
"10","The Handmaid's Tale",10,2025-05-19,"TV Series","2017–2025","66"
"11","Your Friends & Neighbors",11,2025-05-19,"TV Series","2025– ","10"
"12","The Righteous Gemstones",12,2025-05-19,"TV Series","2019–2025","36"
"13","The Rookie",13,2025-05-19,"TV Series","2018– ","144"
"14","Game of Thrones",14,2025-05-19,"TV Series","2011–2019","74"
"15","The Pitt",15,2025-05-19,"TV Series","2025– ","16"
"16","Severance",16,2025-05-19,"TV Series","2022– ","20"
"17","The Studio",17,2025-05-19,"TV Series","2025– ","11"
"18","Ransom Canyon",18,2025-05-19,"TV Series","2025– ","10"
"19","Breaking Bad",19,2025-05-19,"TV Series","2008–2013","62"
"20","Yellowstone",20,2025-05-19,"TV Series","2018–2024","53"
"21","Grey's Anatomy",21,2025-05-19,"TV Series","2005– ","466"
"22","9-1-1",22,2025-05-19,"TV Series","2018– ","142"
"23","Doctor Who",23,2025-05-19,"TV Series","2023– ","21"
"24","Criminal Minds",24,2025-05-19,"TV Series","2005– ","355"
"25","Hacks",25,2025-05-19,"TV Series","2021– ","37"
