"","title","position","date","type","year","episodes"
"1","The Night Agent",1,2025-02-10,"TV Series","2023– ","21"
"2","Severance",2,2025-02-10,"TV Series","2022– ","19"
"3","Paradise",3,2025-02-10,"TV Series","2025– ","8"
"4","American Primeval",4,2025-02-10,"TV Mini Series","2025","6"
"5","Squid Game",5,2025-02-10,"TV Series","2021–2025","18"
"6","The White Lotus",6,2025-02-10,"TV Series","2021– ","22"
"7","Silo",7,2025-02-10,"TV Series","2023– ","22"
"8","Landman",8,2025-02-10,"TV Series","2024– ","10"
"9","High Potential",9,2025-02-10,"TV Series","2024– ","14"
"10","Game of Thrones",10,2025-02-10,"TV Series","2011–2019","74"
"11","Yellowstone",11,2025-02-10,"TV Series","2018–2024","53"
"12","The Pitt",12,2025-02-10,"TV Series","2025– ","15"
"13","The Recruit",13,2025-02-10,"TV Series","2022– ","14"
"14","Dexter: Original Sin",14,2025-02-10,"TV Series","2024– ","10"
"15","The Rookie",15,2025-02-10,"TV Series","2018– ","117"
"16","Dexter",16,2025-02-10,"TV Series","2006–2013","96"
"17","The Day of the Jackal",17,2025-02-10,"TV Series","2024– ","11"
"18","Your Friendly Neighborhood Spider-Man",18,2025-02-10,"TV Series","2025– ","11"
"19","Watson",19,2025-02-10,"TV Series","2024– ","13"
"20","Breaking Bad",20,2025-02-10,"TV Series","2008–2013","62"
"21","Younger",21,2025-02-10,"TV Series","2015–2021","84"
"22","Prime Target",22,2025-02-10,"TV Series","2025– ","8"
"23","The Agency",23,2025-02-10,"TV Series","2024– ","11"
"24","Alien: Earth",24,2025-02-10,"TV Series","2025– ","8"
"25","Twin Peaks",25,2025-02-10,"TV Series","1990–1991","30"
