"","title","position","date","type","year","episodes"
"1","Squid Game",1,2025-07-07,"TV Series","2021–2025","22"
"2","The Bear",2,2025-07-07,"TV Series","2022– ","39"
"3","The Waterfront",3,2025-07-07,"TV Series","2025– ","8"
"4","Ironheart",4,2025-07-07,"TV Mini Series","2025","6"
"5","Countdown",5,2025-07-07,"TV Series","2025– ","13"
"6","Dept. Q",6,2025-07-07,"TV Series","2025– ","9"
"7","We Were Liars",7,2025-07-07,"TV Series","2025– ","8"
"8","Smoke",8,2025-07-07,"TV Series","2025– ","9"
"9","MobLand",9,2025-07-07,"TV Series","2025– ","11"
"10","Game of Thrones",10,2025-07-07,"TV Series","2011–2019","74"
"11","Andor",11,2025-07-07,"TV Series","2022–2025","24"
"12","The Last of Us",12,2025-07-07,"TV Series","2023– ","17"
"13","Ginny & Georgia",13,2025-07-07,"TV Series","2021– ","31"
"14","The Rookie",14,2025-07-07,"TV Series","2018– ","144"
"15","Stick",15,2025-07-07,"TV Series","2025– ","10"
"16","Animal Kingdom",16,2025-07-07,"TV Series","2016–2022","75"
"17","Poker Face",17,2025-07-07,"TV Series","2023– ","22"
"18","The Gilded Age",18,2025-07-07,"TV Series","2022– ","25"
"19","The White Lotus",19,2025-07-07,"TV Series","2021– ","22"
"20","Breaking Bad",20,2025-07-07,"TV Series","2008–2013","62"
"21","Murderbot",21,2025-07-07,"TV Series","2025– ","10"
"22","Stranger Things",22,2025-07-07,"TV Series","2016–2025","42"
"23","Black Mirror",23,2025-07-07,"TV Series","2011– ","33"
"24","Rick and Morty",24,2025-07-07,"TV Series","2013– ","85"
"25","Olympo",25,2025-07-07,"TV Series","2025","8"
