"","title","position","date","type","year","episodes"
"1","The White Lotus",1,2025-03-10,"TV Series","2021– ","22"
"2","Zero Day",2,2025-03-10,"TV Mini Series","2025","6"
"3","Severance",3,2025-03-10,"TV Series","2022– ","20"
"4","Reacher",4,2025-03-10,"TV Series","2022– ","25"
"5","Paradise",5,2025-03-10,"TV Series","2025– ","9"
"6","1923",6,2025-03-10,"TV Series","2022–2025","16"
"7","A Thousand Blows",7,2025-03-10,"TV Series","2024– ","12"
"8","Invincible",8,2025-03-10,"TV Series","2021– ","25"
"9","Yellowjackets",9,2025-03-10,"TV Series","2021– ","29"
"10","Suits LA",10,2025-03-10,"TV Series","2025– ","13"
"11","Yellowstone",11,2025-03-10,"TV Series","2018–2024","53"
"12","The Pitt",12,2025-03-10,"TV Series","2025– ","16"
"13","Cobra Kai",13,2025-03-10,"TV Series","2018–2025","65"
"14","Game of Thrones",14,2025-03-10,"TV Series","2011–2019","74"
"15","The Rookie",15,2025-03-10,"TV Series","2018– ","118"
"16","Toxic Town",16,2025-03-10,"TV Mini Series","2025","4"
"17","Solo Leveling",17,2025-03-10,"TV Series","2024– ","24"
"18","Running Point",18,2025-03-10,"TV Series","2025– ","11"
"19","Dexter",19,2025-03-10,"TV Series","2006–2013","96"
"20","Breaking Bad",20,2025-03-10,"TV Series","2008–2013","62"
"21","The Jewel of Section E",21,2025-03-10,"TV Series","2025– ","16"
"22","High Potential",22,2025-03-10,"TV Series","2024– ","14"
"23","The Night Agent",23,2025-03-10,"TV Series","2023– ","21"
"24","Buffy the Vampire Slayer",24,2025-03-10,"TV Series","1997–2003","145"
"25","Andor",25,2025-03-10,"TV Series","2022–2025","24"
