"","title","position","date","type","year","episodes"
"1","Dept. Q",1,2025-06-16,"TV Series","2025– ","9"
"2","The Last of Us",2,2025-06-16,"TV Series","2023– ","17"
"3","Ginny & Georgia",3,2025-06-16,"TV Series","2021– ","31"
"4","MobLand",4,2025-06-16,"TV Series","2025– ","10"
"5","The Better Sister",5,2025-06-16,"TV Series","2025","8"
"6","Sirens",6,2025-06-16,"TV Mini Series","2025","5"
"7","Andor",7,2025-06-16,"TV Series","2022–2025","24"
"8","Stick",8,2025-06-16,"TV Series","2025– ","10"
"9","Alien: Earth",9,2025-06-16,"TV Series","2025– ","8"
"10","Tires",10,2025-06-16,"TV Series","2024–2025","18"
"11","The Survivors",11,2025-06-16,"TV Mini Series","2025","6"
"12","Your Friends & Neighbors",12,2025-06-16,"TV Series","2025– ","10"
"13","Stranger Things",13,2025-06-16,"TV Series","2016–2025","42"
"14","Game of Thrones",14,2025-06-16,"TV Series","2011–2019","74"
"15","The White Lotus",15,2025-06-16,"TV Series","2021– ","22"
"16","The Handmaid's Tale",16,2025-06-16,"TV Series","2017–2025","66"
"17","Black Mirror",17,2025-06-16,"TV Series","2011– ","33"
"18","Murderbot",18,2025-06-16,"TV Series","2025– ","10"
"19","Poker Face",19,2025-06-16,"TV Series","2023– ","22"
"20","The Rookie",20,2025-06-16,"TV Series","2018– ","144"
"21","Rick and Morty",21,2025-06-16,"TV Series","2013– ","85"
"22","Adults",22,2025-06-16,"TV Series","2025– ","8"
"23","Breaking Bad",23,2025-06-16,"TV Series","2008–2013","62"
"24","Mercy for None",24,2025-06-16,"TV Series","2025","7"
"25","Severance",25,2025-06-16,"TV Series","2022– ","20"
