"","title","position","date","type","year","episodes"
"1","The White Lotus",1,2025-03-03,"TV Series","2021– ","22"
"2","Severance",2,2025-03-03,"TV Series","2022– ","19"
"3","Reacher",3,2025-03-03,"TV Series","2022– ","25"
"4","Cobra Kai",4,2025-03-03,"TV Series","2018–2025","65"
"5","Zero Day",5,2025-03-03,"TV Mini Series","2025","6"
"6","Paradise",6,2025-03-03,"TV Series","2025– ","9"
"7","Yellowjackets",7,2025-03-03,"TV Series","2021– ","29"
"8","Invincible",8,2025-03-03,"TV Series","2021– ","25"
"9","Yellowstone",9,2025-03-03,"TV Series","2018–2024","53"
"10","Apple Cider Vinegar",10,2025-03-03,"TV Mini Series","2025","6"
"11","The Night Agent",11,2025-03-03,"TV Series","2023– ","21"
"12","Game of Thrones",12,2025-03-03,"TV Series","2011–2019","74"
"13","Dexter: Original Sin",13,2025-03-03,"TV Series","2024– ","10"
"14","High Potential",14,2025-03-03,"TV Series","2024– ","14"
"15","The Pitt",15,2025-03-03,"TV Series","2025– ","16"
"16","The Rookie",16,2025-03-03,"TV Series","2018– ","118"
"17","Dexter",17,2025-03-03,"TV Series","2006–2013","96"
"18","Breaking Bad",18,2025-03-03,"TV Series","2008–2013","62"
"19","1923",19,2025-03-03,"TV Series","2022–2025","16"
"20","Squid Game",20,2025-03-03,"TV Series","2021–2025","18"
"21","The Day of the Jackal",21,2025-03-03,"TV Series","2024– ","11"
"22","Silo",22,2025-03-03,"TV Series","2023– ","22"
"23","Landman",23,2025-03-03,"TV Series","2024– ","10"
"24","Your Friendly Neighborhood Spider-Man",24,2025-03-03,"TV Series","2025– ","11"
"25","Solo Leveling",25,2025-03-03,"TV Series","2024– ","22"
