"","title","position","date","type","year","episodes"
"1","The White Lotus",1,2025-03-17,"TV Series","2021– ","22"
"2","Daredevil: Born Again",2,2025-03-17,"TV Series","2025– ","17"
"3","Severance",3,2025-03-17,"TV Series","2022– ","20"
"4","Paradise",4,2025-03-17,"TV Series","2025– ","9"
"5","Invincible",5,2025-03-17,"TV Series","2021– ","25"
"6","Reacher",6,2025-03-17,"TV Series","2022– ","25"
"7","Running Point",7,2025-03-17,"TV Series","2025– ","11"
"8","Zero Day",8,2025-03-17,"TV Mini Series","2025","6"
"9","Toxic Town",9,2025-03-17,"TV Mini Series","2025","4"
"10","1923",10,2025-03-17,"TV Series","2022–2025","16"
"11","Daredevil",11,2025-03-17,"TV Series","2015–2018","39"
"12","The Pitt",12,2025-03-17,"TV Series","2025– ","16"
"13","Yellowjackets",13,2025-03-17,"TV Series","2021– ","29"
"14","Yellowstone",14,2025-03-17,"TV Series","2018–2024","53"
"15","Game of Thrones",15,2025-03-17,"TV Series","2011–2019","74"
"16","The Rookie",16,2025-03-17,"TV Series","2018– ","120"
"17","House of David",17,2025-03-17,"TV Series","2025– ","8"
"18","A Thousand Blows",18,2025-03-17,"TV Series","2024– ","12"
"19","Suits LA",19,2025-03-17,"TV Series","2025– ","13"
"20","Dexter",20,2025-03-17,"TV Series","2006–2013","96"
"21","Breaking Bad",21,2025-03-17,"TV Series","2008–2013","62"
"22","Solo Leveling",22,2025-03-17,"TV Series","2024– ","25"
"23","Cobra Kai",23,2025-03-17,"TV Series","2018–2025","65"
"24","Towards Zero",24,2025-03-17,"TV Mini Series","2025","3"
"25","High Potential",25,2025-03-17,"TV Series","2024– ","14"
