"","title","position","date","type","year","episodes"
"1","Dept. Q",1,2025-06-23,"TV Series","2025– ","9"
"2","Ginny & Georgia",2,2025-06-23,"TV Series","2021– ","31"
"3","MobLand",3,2025-06-23,"TV Series","2025– ","10"
"4","The Last of Us",4,2025-06-23,"TV Series","2023– ","17"
"5","Tires",5,2025-06-23,"TV Series","2024–2025","18"
"6","Stick",6,2025-06-23,"TV Series","2025– ","10"
"7","Andor",7,2025-06-23,"TV Series","2022–2025","24"
"8","The Better Sister",8,2025-06-23,"TV Series","2025","8"
"9","FUBAR",9,2025-06-23,"TV Series","2023– ","16"
"10","The Survivors",10,2025-06-23,"TV Mini Series","2025","6"
"11","Sirens",11,2025-06-23,"TV Mini Series","2025","5"
"12","Game of Thrones",12,2025-06-23,"TV Series","2011–2019","74"
"13","The White Lotus",13,2025-06-23,"TV Series","2021– ","22"
"14","Stranger Things",14,2025-06-23,"TV Series","2016–2025","42"
"15","Poker Face",15,2025-06-23,"TV Series","2023– ","22"
"16","Murderbot",16,2025-06-23,"TV Series","2025– ","10"
"17","The Rookie",17,2025-06-23,"TV Series","2018– ","144"
"18","Black Mirror",18,2025-06-23,"TV Series","2011– ","33"
"19","Your Friends & Neighbors",19,2025-06-23,"TV Series","2025– ","10"
"20","The Handmaid's Tale",20,2025-06-23,"TV Series","2017–2025","66"
"21","Rick and Morty",21,2025-06-23,"TV Series","2013– ","85"
"22","Revival",22,2025-06-23,"TV Series","2025– ","10"
"23","Breaking Bad",23,2025-06-23,"TV Series","2008–2013","62"
"24","Animal Kingdom",24,2025-06-23,"TV Series","2016–2022","75"
"25","Yellowstone",25,2025-06-23,"TV Series","2018–2024","53"
