"","title","position","date","type","year","episodes"
"1","Adolescence",1,2025-04-07,"TV Mini Series","2025","4"
"2","The White Lotus",2,2025-04-07,"TV Series","2021– ","22"
"3","Severance",3,2025-04-07,"TV Series","2022– ","20"
"4","The Residence",4,2025-04-07,"TV Mini Series","2025","8"
"5","Daredevil: Born Again",5,2025-04-07,"TV Series","2025– ","17"
"6","Reacher",6,2025-04-07,"TV Series","2022– ","25"
"7","Solo Leveling",7,2025-04-07,"TV Series","2024– ","26"
"8","Invincible",8,2025-04-07,"TV Series","2021– ","25"
"9","The Pitt",9,2025-04-07,"TV Series","2025– ","16"
"10","1923",10,2025-04-07,"TV Series","2022–2025","15"
"11","The Studio",11,2025-04-07,"TV Series","2025– ","10"
"12","The Wheel of Time",12,2025-04-07,"TV Series","2021– ","24"
"13","Good American Family",13,2025-04-07,"TV Mini Series","2025","8"
"14","Yellowjackets",14,2025-04-07,"TV Series","2021– ","29"
"15","The Righteous Gemstones",15,2025-04-07,"TV Series","2019–2025","36"
"16","Game of Thrones",16,2025-04-07,"TV Series","2011–2019","74"
"17","This City Is Ours",17,2025-04-07,"TV Series","2025– ","8"
"18","Yellowstone",18,2025-04-07,"TV Series","2018–2024","53"
"19","The Rookie",19,2025-04-07,"TV Series","2018– ","144"
"20","Paradise",20,2025-04-07,"TV Series","2025– ","9"
"21","Ludwig",21,2025-04-07,"TV Series","2024– ","6"
"22","Breaking Bad",22,2025-04-07,"TV Series","2008–2013","62"
"23","The Last of Us",23,2025-04-07,"TV Series","2023– ","16"
"24","Happy Face",24,2025-04-07,"TV Series","2025","8"
"25","Gangs of London",25,2025-04-07,"TV Series","2020– ","25"
