"","title","position","date","type","year","episodes"
"1","The Last of Us",1,2025-05-05,"TV Series","2023– ","17"
"2","Black Mirror",2,2025-05-05,"TV Series","2011– ","33"
"3","Andor",3,2025-05-05,"TV Series","2022–2025","24"
"4","You",4,2025-05-05,"TV Series","2018–2025","50"
"5","The White Lotus",5,2025-05-05,"TV Series","2021– ","22"
"6","Ransom Canyon",6,2025-05-05,"TV Series","2025– ","10"
"7","MobLand",7,2025-05-05,"TV Series","2025– ","10"
"8","The Pitt",8,2025-05-05,"TV Series","2025– ","16"
"9","Daredevil: Born Again",9,2025-05-05,"TV Series","2025– ","17"
"10","The Handmaid's Tale",10,2025-05-05,"TV Series","2017–2025","66"
"11","Your Friends & Neighbors",11,2025-05-05,"TV Series","2025– ","10"
"12","Game of Thrones",12,2025-05-05,"TV Series","2011–2019","74"
"13","Severance",13,2025-05-05,"TV Series","2022– ","20"
"14","The Rookie",14,2025-05-05,"TV Series","2018– ","144"
"15","The Wheel of Time",15,2025-05-05,"TV Series","2021– ","24"
"16","The Righteous Gemstones",16,2025-05-05,"TV Series","2019–2025","36"
"17","1923",17,2025-05-05,"TV Series","2022–2025","15"
"18","Adolescence",18,2025-05-05,"TV Mini Series","2025","4"
"19","The Studio",19,2025-05-05,"TV Series","2025– ","10"
"20","The Residence",20,2025-05-05,"TV Mini Series","2025","8"
"21","Wednesday",21,2025-05-05,"TV Series","2022– ","16"
"22","Yellowstone",22,2025-05-05,"TV Series","2018–2024","53"
"23","Étoile",23,2025-05-05,"TV Series","2025– ","16"
"24","Breaking Bad",24,2025-05-05,"TV Series","2008–2013","62"
"25","Good American Family",25,2025-05-05,"TV Mini Series","2025","8"
