"","title","position","date","type","year","episodes"
"1","American Primeval",1,2025-01-27,"TV Mini Series","2025","6"
"2","Landman",2,2025-01-27,"TV Series","2024– ","10"
"3","Severance",3,2025-01-27,"TV Series","2022– ","19"
"4","Squid Game",4,2025-01-27,"TV Series","2021–2025","17"
"5","Silo",5,2025-01-27,"TV Series","2023– ","22"
"6","The Pitt",6,2025-01-27,"TV Series","2025– ","15"
"7","Goosebumps",7,2025-01-27,"TV Series","2023– ","18"
"8","Skeleton Crew",8,2025-01-27,"TV Series","2024–2025","8"
"9","The Day of the Jackal",9,2025-01-27,"TV Series","2024– ","11"
"10","Yellowstone",10,2025-01-27,"TV Series","2018–2024","53"
"11","Missing You",11,2025-01-27,"TV Mini Series","2025","5"
"12","Game of Thrones",12,2025-01-27,"TV Series","2011–2019","74"
"13","On Call",13,2025-01-27,"TV Series","2025– ","8"
"14","Dexter",14,2025-01-27,"TV Series","2006–2013","96"
"15","The Rookie",15,2025-01-27,"TV Series","2018– ","117"
"16","Dexter: Original Sin",16,2025-01-27,"TV Series","2024– ","10"
"17","The Agency",17,2025-01-27,"TV Series","2024– ","11"
"18","High Potential",18,2025-01-27,"TV Series","2024– ","13"
"19","Breaking Bad",19,2025-01-27,"TV Series","2008–2013","62"
"20","From",20,2025-01-27,"TV Series","2022– ","31"
"21","Rogue Heroes",21,2025-01-27,"TV Series","2022–2025","12"
"22","Outlander",22,2025-01-27,"TV Series","2014– ","101"
"23","Black Doves",23,2025-01-27,"TV Series","2024– ","6"
"24","The White Lotus",24,2025-01-27,"TV Series","2021–2025","22"
"25","Younger",25,2025-01-27,"TV Series","2015–2021","84"
