"","title","position","date","type","year","episodes"
"1","The Last of Us",1,2025-06-02,"TV Series","2023– ","17"
"2","Sirens",2,2025-06-02,"TV Mini Series","2025","5"
"3","Andor",3,2025-06-02,"TV Series","2022–2025","24"
"4","MobLand",4,2025-06-02,"TV Series","2025– ","10"
"5","The Handmaid's Tale",5,2025-06-02,"TV Series","2017–2025","66"
"6","Your Friends & Neighbors",6,2025-06-02,"TV Series","2025– ","10"
"7","Love, Death & Robots",7,2025-06-02,"TV Series","2019– ","45"
"8","The Four Seasons",8,2025-06-02,"TV Series","2025–2026","9"
"9","The White Lotus",9,2025-06-02,"TV Series","2021– ","22"
"10","Black Mirror",10,2025-06-02,"TV Series","2011– ","33"
"11","Murderbot",11,2025-06-02,"TV Series","2025– ","10"
"12","Nine Perfect Strangers",12,2025-06-02,"TV Series","2021– ","16"
"13","Game of Thrones",13,2025-06-02,"TV Series","2011–2019","74"
"14","Secrets We Keep",14,2025-06-02,"TV Mini Series","2025","6"
"15","Overcompensating",15,2025-06-02,"TV Series","2025– ","8"
"16","Poker Face",16,2025-06-02,"TV Series","2023– ","22"
"17","The Rookie",17,2025-06-02,"TV Series","2018– ","144"
"18","The Studio",18,2025-06-02,"TV Series","2025– ","11"
"19","You",19,2025-06-02,"TV Series","2018–2025","50"
"20","Hacks",20,2025-06-02,"TV Series","2021– ","38"
"21","Bet",21,2025-06-02,"TV Series","2025– ","10"
"22","Duster",22,2025-06-02,"TV Series","2025– ","8"
"23","Doctor Who",23,2025-06-02,"TV Series","2023– ","21"
"24","Breaking Bad",24,2025-06-02,"TV Series","2008–2013","62"
"25","Severance",25,2025-06-02,"TV Series","2022– ","20"
