"","title","position","date","type","year","episodes"
"1","Adolescence",1,2025-03-31,"TV Mini Series","2025","4"
"2","The White Lotus",2,2025-03-31,"TV Series","2021– ","22"
"3","Severance",3,2025-03-31,"TV Series","2022– ","20"
"4","Invincible",4,2025-03-31,"TV Series","2021– ","25"
"5","Daredevil: Born Again",5,2025-03-31,"TV Series","2025– ","17"
"6","Reacher",6,2025-03-31,"TV Series","2022– ","25"
"7","The Wheel of Time",7,2025-03-31,"TV Series","2021– ","24"
"8","1923",8,2025-03-31,"TV Series","2022–2025","15"
"9","The Pitt",9,2025-03-31,"TV Series","2025– ","16"
"10","Solo Leveling",10,2025-03-31,"TV Series","2024– ","26"
"11","The Residence",11,2025-03-31,"TV Mini Series","2025","8"
"12","Paradise",12,2025-03-31,"TV Series","2025– ","9"
"13","The Righteous Gemstones",13,2025-03-31,"TV Series","2019–2025","36"
"14","Yellowstone",14,2025-03-31,"TV Series","2018–2024","53"
"15","Yellowjackets",15,2025-03-31,"TV Series","2021– ","29"
"16","Game of Thrones",16,2025-03-31,"TV Series","2011–2019","74"
"17","Long Bright River",17,2025-03-31,"TV Series","2025","8"
"18","The Rookie",18,2025-03-31,"TV Series","2018– ","126"
"19","Running Point",19,2025-03-31,"TV Series","2025– ","11"
"20","Breaking Bad",20,2025-03-31,"TV Series","2008–2013","62"
"21","Zero Day",21,2025-03-31,"TV Mini Series","2025","6"
"22","The Last of Us",22,2025-03-31,"TV Series","2023– ","16"
"23","Dope Thief",23,2025-03-31,"TV Series","2025– ","8"
"24","Black Mirror",24,2025-03-31,"TV Series","2011– ","33"
"25","Daredevil",25,2025-03-31,"TV Series","2015–2018","39"
