"","title","position","date","type","year","episodes"
"1","The White Lotus",1,2025-03-24,"TV Series","2021– ","22"
"2","Invincible",2,2025-03-24,"TV Series","2021– ","25"
"3","Severance",3,2025-03-24,"TV Series","2022– ","20"
"4","Daredevil: Born Again",4,2025-03-24,"TV Series","2025– ","17"
"5","Reacher",5,2025-03-24,"TV Series","2022– ","25"
"6","Paradise",6,2025-03-24,"TV Series","2025– ","9"
"7","Adolescence",7,2025-03-24,"TV Mini Series","2025","4"
"8","Running Point",8,2025-03-24,"TV Series","2025– ","11"
"9","The Last of Us",9,2025-03-24,"TV Series","2023– ","16"
"10","1923",10,2025-03-24,"TV Series","2022–2025","16"
"11","The Righteous Gemstones",11,2025-03-24,"TV Series","2019–2025","36"
"12","The Pitt",12,2025-03-24,"TV Series","2025– ","16"
"13","Zero Day",13,2025-03-24,"TV Mini Series","2025","6"
"14","The Wheel of Time",14,2025-03-24,"TV Series","2021– ","24"
"15","Yellowjackets",15,2025-03-24,"TV Series","2021– ","29"
"16","Daredevil",16,2025-03-24,"TV Series","2015–2018","39"
"17","Yellowstone",17,2025-03-24,"TV Series","2018–2024","53"
"18","The Rookie",18,2025-03-24,"TV Series","2018– ","120"
"19","Game of Thrones",19,2025-03-24,"TV Series","2011–2019","74"
"20","Breaking Bad",20,2025-03-24,"TV Series","2008–2013","62"
"21","Toxic Town",21,2025-03-24,"TV Mini Series","2025","4"
"22","Solo Leveling",22,2025-03-24,"TV Series","2024– ","25"
"23","Dexter",23,2025-03-24,"TV Series","2006–2013","96"
"24","Dark Winds",24,2025-03-24,"TV Series","2022– ","21"
"25","Black Mirror",25,2025-03-24,"TV Series","2011– ","33"
