"","title","position","date","type","year","episodes"
"1","Dexter: Resurrection",1,2025-07-21,"TV Series","2025– ","10"
"2","Ballard",2,2025-07-21,"TV Series","2025– ","10"
"3","The Sandman",3,2025-07-21,"TV Series","2022–2025","23"
"4","Squid Game",4,2025-07-21,"TV Series","2021–2025","22"
"5","The Bear",5,2025-07-21,"TV Series","2022– ","39"
"6","Too Much",6,2025-07-21,"TV Mini Series","2025","10"
"7","The Waterfront",7,2025-07-21,"TV Series","2025– ","8"
"8","Ironheart",8,2025-07-21,"TV Mini Series","2025","6"
"9","Dept. Q",9,2025-07-21,"TV Series","2025– ","9"
"10","Game of Thrones",10,2025-07-21,"TV Series","2011–2019","74"
"11","Foundation",11,2025-07-21,"TV Series","2021– ","30"
"12","Countdown",12,2025-07-21,"TV Series","2025– ","13"
"13","Murderbot",13,2025-07-21,"TV Series","2025– ","11"
"14","MobLand",14,2025-07-21,"TV Series","2025– ","11"
"15","We Were Liars",15,2025-07-21,"TV Series","2025– ","8"
"16","Sullivan's Crossing",16,2025-07-21,"TV Series","2023– ","40"
"17","Dexter",17,2025-07-21,"TV Series","2006–2013","96"
"18","Poker Face",18,2025-07-21,"TV Series","2023– ","22"
"19","Smoke",19,2025-07-21,"TV Series","2025– ","9"
"20","The Rookie",20,2025-07-21,"TV Series","2018– ","144"
"21","Breaking Bad",21,2025-07-21,"TV Series","2008–2013","62"
"22","Stick",22,2025-07-21,"TV Series","2025– ","10"
"23","The Gilded Age",23,2025-07-21,"TV Series","2022– ","25"
"24","It's Always Sunny in Philadelphia",24,2025-07-21,"TV Series","2005– ","179"
"25","Andor",25,2025-07-21,"TV Series","2022–2025","24"
