"","title","position","date","type","year","episodes"
"1","Andor",1,2025-05-26,"TV Series","2022–2025","24"
"2","The Last of Us",2,2025-05-26,"TV Series","2023– ","17"
"3","MobLand",3,2025-05-26,"TV Series","2025– ","10"
"4","The Four Seasons",4,2025-05-26,"TV Series","2025–2026","9"
"5","Love, Death & Robots",5,2025-05-26,"TV Series","2019– ","45"
"6","Black Mirror",6,2025-05-26,"TV Series","2011– ","33"
"7","The Handmaid's Tale",7,2025-05-26,"TV Series","2017–2025","66"
"8","Murderbot",8,2025-05-26,"TV Series","2025– ","10"
"9","Your Friends & Neighbors",9,2025-05-26,"TV Series","2025– ","10"
"10","Poker Face",10,2025-05-26,"TV Series","2023– ","22"
"11","You",11,2025-05-26,"TV Series","2018–2025","50"
"12","The White Lotus",12,2025-05-26,"TV Series","2021– ","22"
"13","The Rookie",13,2025-05-26,"TV Series","2018– ","144"
"14","Bad Thoughts",14,2025-05-26,"TV Series","2025– ","6"
"15","Game of Thrones",15,2025-05-26,"TV Series","2011–2019","74"
"16","The Eternaut",16,2025-05-26,"TV Series","2025– ","7"
"17","Duster",17,2025-05-26,"TV Series","2025– ","8"
"18","The Studio",18,2025-05-26,"TV Series","2025– ","11"
"19","The Righteous Gemstones",19,2025-05-26,"TV Series","2019–2025","36"
"20","Overcompensating",20,2025-05-26,"TV Series","2025– ","8"
"21","Secrets We Keep",21,2025-05-26,"TV Mini Series","2025","6"
"22","The Pitt",22,2025-05-26,"TV Series","2025– ","16"
"23","Hacks",23,2025-05-26,"TV Series","2021– ","37"
"24","Severance",24,2025-05-26,"TV Series","2022– ","20"
"25","Breaking Bad",25,2025-05-26,"TV Series","2008–2013","62"
